,acteur_1,acteur_2,acteur_3,allocine_id,annee_prod,annee_sortie,box_office_fr,couleur,duree,langues,nationalite,nb_critiques_presse,nb_critiques_spectateurs,nb_notes_spectateurs,note_presse,note_spectateurs,realisateurs,synopsis,titre,type_film,genre
4047,Joseph Gordon-Levitt,Scarlett Johansson,Julianne Moore,203316,2013,2013.0,258793.0,Couleur,90.0,Anglais,Américain,16.0,638.0,7056.0,2.8,2.6,Joseph Gordon-Levitt,"Jon Martello est un beau mec que ses amis ont surnommé Don Jon en raison de son talent à séduire une nouvelle fille chaque week-end . Mais pour lui , même les rencontres les plus excitantes ne valent pas les moments solitaires qu’ il passe devant son ordinateur à regarder des films pornographiques . Barbara Sugarman est une jeune femme lumineuse , nourrie aux comédies romantiques hollywoodiennes , bien décidée à trouver son Prince Charmant . Leur rencontre est un choc , une explosion dans la vie de chacun . Bourrés d’ illusions et d’ idées reçues sur le sexe opposé , Jon et Barbara vont devoir laisser tomber leurs fantasmes s’ ils veulent avoir une chance de vivre enfin une vraie relation …",Don Jon,Long-métrage,romance
2942,Pauline Burlet,Alban Lenoir,Géraldine Pailhas,243262,2017,2017.0,,Couleur,100.0,Français,Français,16.0,24.0,150.0,3.1,2.8,Marine Francen,"1852 : L’ armée de Louis Napoléon Bonaparte écrase la résistance des Républicains . Dans son village de montagne , Violette assiste à la rafle de tous les hommes . Après des mois passés dans un isolement total , Violette et les autres jeunes filles se font un serment : si un homme vient , il sera celui de toutes …",Le Semeur,Long-métrage,historique
2996,Olivia Ruiz,Ibrahim Koma,Hubert Delattre,273119,2019,2019.0,,Couleur,90.0,Français,Français,,6.0,26.0,,3.5,Vincent Lannoo,"Justine 40 ans , concilie tant bien que mal son rôle de mère de famille et d' épouse ainsi que son métier de policière à la BAC jusqu’ au jour où elle est accusée d’ avoir volé de l’ argent lors d’ une perquisition qui a mal tourné . Confrontée quotidiennement à la violence et la misère avec son travail et mise sous pression à cause d’ une enquête de l’ IGPN , Justine va vivre une véritable descente aux enfers qui va mettre en péril sa vie de famille et l’ obliger à faire un choix : peut - on être flic , mère et épouse en France aujourd'hui ?",Etats d' urgence,Télefilm,policier
1193,Audrey Tautou,François Damiens,Bruno Todeschini,61361,2011,2011.0,770579.0,Couleur,108.0,Français,Français,20.0,558.0,4028.0,2.4,3.4,"David Foenkinos, Stéphane Foenkinos","Nathalie a tout pour être heureuse . Elle est jeune , belle , et file le parfait amour . La mort accidentelle de son mari va couper son élan . Pendant des années , elle va s' investir dans son travail , se sentir en parenthèse de sa vie sensuelle . Mais subitement , sans qu' elle comprenne vraiment pourquoi , elle embrasse un de ses collègues . Markus , un homme très atypique . S' ensuit alors la valse sentimentale de ce couple hautement improbable qui va susciter interrogation et agressivité au sein de l' entreprise . Choisit - on vraiment par quel moyen on renaît à la vie ? Nathalie et Markus vont finir par fuir pour vivre leur histoire et leur émerveillement à l' abri de tout . Cette histoire de renaissance est aussi celle de l' étrangeté amoureuse .",La Délicatesse,Long-métrage,romance
2510,Jacques Tati,Nathalie Pascaud,Micheline Rolla,2615,1953,1953.0,5315999.0,,88.0,,Français,5.0,130.0,3881.0,4.6,3.9,Jacques Tati,"Les vacances , tout le monde le sait , ne sont pas faites pour s' amuser . Tout le monde le sait , sauf Monsieur Hulot qui , pipe en l' air et silhouette en éventail , prend la vie comme elle vient , bouleversant scandaleusement au volant de sa vieille voiture Salmson pétaradante la quiétude estivale des vacanciers qui s' installent avec leurs habitudes de citadins dans cette petite station balnéaire de la côte atlantique . Il promène dans l' ennui balnéaire , le plaisir émerveillé des châteaux de sable . Et , d' un seul coup , l' ennui éclate de rire , tandis que les châteaux de sable s' ouvrent sur la belle au bois dormant et qu' aux cris des enfants , la petite plage pétarade et reluit comme un quatorze juillet ... Mais voilà septembre . Monsieur Hulot , inconscient du scandale , rentre ... Où rentre - t - il au fait ? Dans les nuages sans doute , dont il n' était , d' ailleurs , jamais sorti . Mais les enfants , après qu' il ait disparu , ont regardé le ciel longtemps .",Les vacances de Monsieur Hulot,Long-métrage,comédie
2043,Jane Levy,Shiloh Fernandez,Lou Taylor Pucci,138417,2013,2013.0,170913.0,Couleur,90.0,Anglais,Américain,14.0,968.0,5073.0,3.1,3.3,Fede Alvarez,"Mia a déjà connu pas mal de galères dans sa vie , et elle est décidée à en finir une bonne fois pour toutes avec ses addictions . Pour réussir à se sevrer de tout , elle demande à son frère David , sa petite amie Natalie et deux amis d’ enfance , Olivia et Eric , de l’ accompagner dans la cabane familiale perdue au fond des bois . Dans la cabane isolée , les jeunes gens découvrent un étrange autel , et surtout un livre très ancien , dont Eric commet l’ erreur de lire un passage à haute voix . Les plus épouvantables des forces vont se déchaîner sur eux …",Evil Dead,Long-métrage,horreur
219,Adèle Haenel,Vincent Rottiers,Rochdy Labidi,36320,2001,2002.0,,Couleur,105.0,Français,Français,18.0,24.0,138.0,3.6,3.5,Christophe Ruggia,"Joseph et Chloé , deux enfants d' une douzaine d' années , sont abandonnés à leur naissance . Alors que la soeur est repliée sur elle-même , le frère organise leurs fugues . Il suit sa soeur et la protège , persuadé qu' elle a le pouvoir de retrouver la maison de leurs parents et que , une fois là-bas , elle guérira .",Les Diables,Long-métrage,drame
237,Leonardo DiCaprio,Kate Winslet,Billy Zane,5818,1997,1998.0,20634793.0,Couleur,194.0,Anglais,Américain,8.0,2638.0,91081.0,4.9,4.3,James Cameron,"Southampton , 10 avril 1912 . Le paquebot le plus grand et le plus moderne du monde , réputé pour son insubmersibilité , le "" Titanic "" , appareille pour son premier voyage . Quatre jours plus tard , il heurte un iceberg . A son bord , un artiste pauvre et une grande bourgeoise tombent amoureux .",Titanic,,romance
1714,Ethan Hawke,Sarah Snook,Noah Taylor,226449,2014,2014.0,,Couleur,98.0,Anglais,Australien,,341.0,3755.0,,3.9,"Michael Spierig, Peter Spierig","Pour sa dernière mission d’ Agent Temporel , ce voyageur dans le temps doit capturer le seul criminel qui lui a toujours échappé .",Predestination,Long-métrage,science fiction
5554,Jack Nicholson,Jessica Lange,John Colicos,1,1981,1981.0,1197879.0,,121.0,Anglais,Américain,,51.0,511.0,,3.5,Bob Rafelson,"Frank Chamber rencontre , lors de ses pérégrinations , Nick Smith , qui tient un café au bord de la route . Quand il voit Cora , la très jolie femme de Nick , il accepte le travail qu' il lui propose .",Le Facteur sonne toujours deux fois,,policier
4544,Freddie Highmore,Keri Russell,Jonathan Rhys-Meyers,109845,2007,2008.0,73602.0,Couleur,113.0,Anglais,Américain,17.0,420.0,2848.0,1.9,3.8,Kirsten Sheridan,"Peu importe qu' il ait grandi dans un orphelinat : August Rush est persuadé que ses parents n' ont jamais voulu l' abandonner . Le jour où il découvre son talent inné pour la musique , August y voit même le moyen de retrouver ceux qui l' ont mis au monde : il est sûr que ses parents , s' ils entendent la symphonie qu' il a composée pour eux , sauront le reconnaître au travers de sa musique ...",August Rush,Long-métrage,romance
3960,Jean-Paul Rouve,Maurice Barthélémy,Claudia Tagbo,249113,2016,2017.0,185922.0,Couleur,84.0,Français,Français,6.0,127.0,1306.0,2.2,2.3,Maurice Barthélémy,"Si Paris est la ville des amoureux , elle est aussi celle … des ex ! Antoine n’ ose plus s’ engager , Didier regrette son ex-femme , le père Laurent doit célébrer le mariage de son ex , Julie , Serge est harcelé par Lise , l’ ex de sa petite amie du moment , tandis que Greg se console avec le chien … de son ex ! Autant de personnages dont les vies vont se télescoper dans un joyeux désordre et qui pourraient bien retomber amoureux ! Mais de qui ? Qu’ ils nous obsèdent ou que l’ on adore les détester , au fond , il est difficile d’ oublier ses ex !",Les Ex,Long-métrage,comédie
2297,Will Smith,Bill Pullman,Jeff Goldblum,15336,1996,1996.0,5605524.0,Couleur,145.0,Anglais,Américain,5.0,835.0,33610.0,2.4,3.2,Roland Emmerich,"Une immense soucoupe volante envahit le ciel terrestre , libérant un nombre infini de plus petites soucoupes qui prennent position au-dessus des plus grandes villes du monde . Un informaticien new-yorkais décrypte les signaux émanant des étranges voyageurs . Ils ne sont pas du tout amicaux et ces extraterrestres se préparent à attaquer la Terre .",Independence Day,Long-métrage,science fiction
1788,acteurs inconnus,,,248714,2018,2019.0,,Couleur,95.0,Espagnol,Espagnol,13.0,26.0,294.0,4.3,4.2,"Almudena Carracedo, Robert Bahar","1977 . Deux ans après la mort de Franco , dans l’ urgence de la transition démocratique , l’ Espagne vote la loi d’ amnistie générale qui libère les prisonniers politiques mais interdit également le jugement des crimes franquistes . Les exactions commises sous la dictature et jusque dans les années 1980 ( disparitions , exécutions sommaires , vols de bébés , torture ) sont alors passées sous silence . Mais depuis quelques années , des citoyens espagnols , rescapés du franquisme , saisissent la justice à 10.000 kilomètres des crimes commis , en Argentine , pour rompre ce « pacte de l’ oubli » et faire condamner les coupables .",Le Silence des autres,,documentaire
5451,Bonnie Wright,Rhys Wakefield,Katie Findlay,218568,2013,,,Couleur,107.0,Anglais,"Américain , indonésien",,101.0,660.0,,2.8,John Huddles,"Dans une école internationale à Jakarta , un professeur de philosophie propose à sa classe composée de 20 personnes de choisir les dix d' entre elles qui seraient les plus susceptibles de se cacher dans un abri et de repeupler la race humaine en cas de catastrophe nucléaire .",La relève,Long-métrage,science fiction
83,acteurs inconnus,,,276154,2019,2020.0,,Couleur,80.0,Français,Français,,5.0,14.0,,3.3,Camille Teixeira,"Aujourd’hui en France quels sont les choix pour accoucher autrement ? Maison de naissance , domicile , ou maternité : trois couples nous montrent le chemin vers des naissances plus naturelles . Des derniers mois de grossesse jusqu’ après l’ accouchement , nous découvrons leurs histoires , leurs motivations , et les moyens dont ils disposent face à une surmédicalisation banalisée .",Accoucher autrement,Long-métrage,documentaire
174,Michelle Dockery,Hugh Bonneville,Maggie Smith,257122,2019,2019.0,742509.0,Couleur,123.0,Anglais,Britannique,27.0,255.0,2118.0,3.2,3.8,Michael Engler,"Adaptation de la série télévisée à succès Downton Abbey . Les Crawley et leur personnel intrépide se préparent à vivre l' événement le plus important de leur vie : une visite du roi et de la reine d' Angleterre . Cette venue ne tardera pas à déclencher scandales , intrigues amoureuses et manigances qui pèseront sur l' avenir même de Downton .",Downton Abbey,Long-métrage,historique
4760,Isabelle Adjani,Denis Podalydès,Yann Collette,142311,2008,2009.0,155214.0,Couleur,88.0,Français,"Français , belge",26.0,610.0,3499.0,3.4,3.7,Jean-Paul Lilienfeld,"Sonia Bergerac , professeur dans un collège , est au bord de la dépression nerveuse depuis que son mari l' a quittée . Un matin , elle découvre une arme cachée dans le sac d' un élève . Elle s' en empare et , involontairement , tire sur l' un d' entre eux . Paniquée , elle prend la classe en otage ...",La Journée de la jupe,Long-métrage,drame
2434,Amandla Stenberg,George MacKay,Abbie Cornish,246608,2018,,,Couleur,122.0,Anglais,Britannique,,,,,,Amma Asante,"En 1940 , à Berlin , l' histoire d' amour entre une jeune allemande et un officier SS .",Where Hands Touch,Long-métrage,romance
3194,Franck Dubosc,Kad Merad,Alexandra Lamy,224790,2015,2015.0,1506009.0,Couleur,107.0,Français,Français,12.0,379.0,4555.0,3.2,2.7,Dominique Farrugia,"Éric et Patrice sont amis depuis le lycée . Au fil des années , chacun a pris un chemin très différent : d’ un côté Éric , hédoniste sans attaches aux multiples conquêtes , et de l’ autre Patrice , père de famille « monogame » à la vie bien rangée . Après une soirée bien arrosée , les deux amis d’ enfance se retrouvent propulsés en 1986 alors qu’ ils n’ ont que 17 ans . Ce retour dans le passé est l’ occasion rêvée pour tenter de changer le cours de leur vie . Que vont - ils faire de cette seconde chance ?",Bis,Long-métrage,comédie
5492,Maggie Smith,Kelly Macdonald,Michael Gambon,29126,2001,2002.0,828922.0,Couleur,137.0,Anglais,"Américain , britannique , italien",25.0,134.0,1699.0,4.2,3.2,Robert Altman,"Au début des années trente , dans une Angleterre fortement marquée par les inégalités de classe , une famille d' aristocrates avec à sa tête la maîtresse de maison , Lady Sylvia McCordle , organise une partie de chasse au cours de laquelle son mari Sir William McCordle est retrouvé poignardé . Cet assassinat va bouleverser l' ordre établi et révéler la complexité des liens entre les maîtres et leurs serviteurs . L' inspecteur Thompson mène l' enquête .",Gosford Park,Long-métrage,policier
1115,Jesse Eisenberg,Mark Ruffalo,Woody Harrelson,182605,2013,2013.0,3005837.0,Couleur,125.0,Anglais,"Américain , français",16.0,2576.0,35762.0,2.3,3.9,Louis Leterrier,"« Les Quatre Cavaliers » , un groupe de brillants magiciens et illusionnistes , viennent de donner deux spectacles de magie époustouflants : le premier en braquant une banque sur un autre continent , le deuxième en transférant la fortune d’ un banquier véreux sur les comptes en banque du public . Deux agents spéciaux du FBI et d’ Interpol sont déterminés à les arrêter avant qu’ ils ne mettent à exécution leur promesse de réaliser des braquages encore plus audacieux . Ils font appel à Thaddeus , spécialiste reconnu pour expliquer les tours de magie les plus sophistiqués . Alors que la pression s’ intensifie , et que le monde entier attend le spectaculaire tour final des Cavaliers , la course contre la montre commence .",Insaisissables,Long-métrage,policier
2457,Barbara Hershey,Ron Silver,David Labiosa,3700,1981,2019.0,,Couleur,126.0,Anglais,Américain,,54.0,326.0,,3.8,Sidney J. Furie,"Carla Moran est un soir brutalement agressée et violée par une entité mystérieuse dans un pavillon proche de Los Angeles . La nuit suivante , de mysterieux phenomènes d' une rare violence provoquent sa fuite . Des parapsychologues lui confirment bientôt qu' elle est la proie d' une force maléfique ...",L' Emprise,Long-métrage,biopic
5360,Jean Gabin,Alain Delon,Viviane Romance,7655,1963,1963.0,3518083.0,,117.0,,"Italien , français",,124.0,3054.0,,3.9,Henri Verneuil,"Charles , la soixantaine , vient de passer cinq ans derrière les barreaux . A sa sortie , il retrouve difficilement son pavillon à Sarcelles . En son absence , la ville a complètement changé : des tours de construction moderne ont poussé comme des champignons . Ginette propose à Charles de reprendre un commerce dans le Sud mais il n' a qu' une idée en tête : cambrioler le coffre-fort du casino Palm Beach , à Cannes . Pour préparer ce grand coup , Charles s' associe à un ancien codétenu , Francis , un jeune délinquant , ainsi qu' à Louis , un mécanicien qui doit leur servir de chauffeur . Le tandem Jean Gabin - Alain Delon fonctionne à merveille dans ce remarquable film de casse , servi par une mise en scène soignée et des dialogues savoureux .",Mélodie en sous-sol,Long-métrage,policier
4353,Laurent Lafitte,Marina Foïs,Alexandre Desrousseaux,239764,2016,2016.0,1239072.0,Couleur,90.0,Français,"Français , belge",28.0,326.0,4670.0,3.3,3.6,Martin Bourboulon,"Deux ans ont passé . Après avoir raté leur séparation , les Leroy semblent parfaitement réussir leur divorce . Mais l' apparition de deux nouveaux amoureux dans la vie de Vincent et de Florence va mettre le feu aux poudres . Le match entre les ex - époux reprend .",Papa Ou maman 2,Long-métrage,comédie
2183,Jessica Chastain,Nikolaj Coster-Waldau,Megan Charpentier,196148,2013,2013.0,277957.0,Couleur,100.0,Anglais,"Espagnol , canadien",19.0,779.0,5498.0,3.1,3.4,Andy Muschietti,"Il y a cinq ans , deux sœurs , Victoria et Lily , ont mystérieusement disparu , le jour où leurs parents ont été tués . Depuis , leur oncle Lucas et sa petite amie Annabel les recherchent désespérément . Tandis que les petites filles sont retrouvées dans une cabane délabrée et partent habiter chez Lucas , Annabel tente de leur réapprendre à mener une vie normale . Mais elle est de plus en plus convaincue que les deux sœurs sont suivies par une présence maléfique …",Mama,Long-métrage,horreur
4538,Demetrius Shipp Jr.,Danai Gurira,Kat Graham,182423,2017,2017.0,,Couleur,140.0,Anglais,Américain,,37.0,590.0,,3.2,Benny Boom,Un biopic sur le rappeur Tupac Shakur .,All Eyez On Me,Long-métrage,biopic
2929,Omar Sy,Alex Lutz,Ana Girardot,248962,2017,2017.0,544655.0,Couleur,114.0,Français,Français,25.0,226.0,1969.0,2.4,2.6,Lorraine Levy,"Knock , un ex - filou repenti devenu médecin diplômé , arrive dans le petit village de Saint-Maurice pour appliquer une "" méthode "" destinée à faire sa fortune : il va convaincre la population que tout bien portant est un malade qui s' ignore . Et pour cela , trouver à chacun la maladie réelle ou imaginaire dont il souffre . Passé maitre dans l' art de la séduction et de la manipulation , Knock est sur le point de parvenir à ses fins . Mais il est rattrapé par deux choses qu' il n' avait pas prévues : les sentiments du coeur et un sombre individu issu de son passé venu le faire chanter .",Knock,Long-métrage,comédie
3430,Gemma Arterton,Elizabeth Debicki,Isabella Rossellini,248675,2017,2019.0,,Couleur,110.0,Anglais,"Britannique , irlandais",22.0,31.0,234.0,2.7,2.8,Chanya Button,"Virginia Woolf et Vita Sackville - West se rencontrent en 1922 . La première est une femme de lettres révolutionnaire , la deuxième une aristocrate mondaine . Quand leurs chemins se croisent , l' irrésistible Vita jette son dévolu sur la brillante et fragile Virginia . Commence une relation passionnelle qui fait fi des conventions sociales et de leurs mariages respectifs . La fascination que Virginia ressent pour Vita , l' abîme entre sa vie d’ artiste et le faste de l' excentrique aristocrate donneront naissance à Orlando , une de ses œuvres maîtresses , bouleversante réflexion sur le genre et sur l’ art .",Vita & Virginia,,biopic
3844,Rain,Naomie Harris,Sung Kang,134213,2009,2010.0,52863.0,,99.0,Anglais,"Américain , allemand",4.0,324.0,1833.0,2.8,2.6,James McTeigue,"Raizo , jeune ninja orphelin , a été entraîné à tuer par le clan Ozunu . Après l' exécution de son seul ami , Raizo est soudainement en proie au doute , et quitte alors le clan afin de préparer sa vengeance ... Des années plus tard , à Berlin , Raizo tombe sur l' agent d' Europol Mika Coretti qui , après avoir levé le voile sur une affaire politique mettant en cause une mystérieuse organisation asiatique , est devenue la cible du clan Ozunu . Traqués , tous deux se lancent dans une dangereuse course-poursuite ...",Ninja Assassin,Long-métrage,policier
243,Josephine Langford,Hero Fiennes Tiffin,Samuel Larsen,266065,2019,2019.0,1228756.0,Couleur,106.0,Anglais,Américain,7.0,973.0,4242.0,1.9,2.3,Jenny Gage,"Depuis son plus jeune âge , Tessa était promise à un avenir tout tracé : une vie rangée , une brillante carrière , un mariage tranquille avec son fiancé de toujours . Jusqu’ à sa rencontre avec Hardin à son arrivée à l’ université . Grossier , provocateur , cruel , c’ est le garçon le plus détestable qu’ elle ait jamais croisé . Et pourtant , ce bad boy tatoué pourrait bien lui faire perdre tout contrôle …",After - Chapitre 1,Long-métrage,romance
4697,Javier Bardem,Maricel Álvarez,Eduard Fernández,140139,2010,2010.0,310949.0,Couleur,138.0,,"Espagnol , mexicain",28.0,378.0,2437.0,3.2,3.7,Alejandro González Iñárritu,"C’ est l’ histoire d’ un homme en chute libre . Sensible aux esprits , Uxbal , père de deux enfants , sent que la mort rôde . Confronté à un quotidien corrompu et à un destin contraire , il se bat pour pardonner , pour aimer , pour toujours …",Biutiful,Long-métrage,drame
4422,Johnny Depp,Heather Graham,Ian Holm,28835,2001,2002.0,811004.0,Couleur,123.0,Anglais,Américain,16.0,379.0,14505.0,3.4,3.5,"Albert Hughes, Allen Hughes","En 1888 , à Londres , dans les rues mal famées du quartier de Whitechapel , un tueur en série , surnommé Jack l' Eventreur , rôde . D' une étonnante précision , ce mystérieux personnage éventre , la nuit tombée , des prostituées . C' est ici qu' entre en scène l' inspecteur Fred Abberline . Cet agent de Scotland Yard comprend rapidement que ces crimes procèdent d' une mise en scène élaborée et supposent un "" doigté "" d' artiste , un sang-froid à toute épreuve et de solides connaissances en anatomie . Le policier , intuitif et visionnaire , dresse patiemment le profil de ce meurtrier hors normes et parvient à gagner la confiance de Mary Kelly , une jeune prostituée . Celle-ci va l' aider à résoudre cette périlleuse enquête .",From Hell,Long-métrage,horreur
864,Denzel Washington,Clive Owen,Chiwetel Ejiofor,60285,2006,2006.0,1176219.0,Couleur,129.0,Anglais,Américain,28.0,919.0,24448.0,3.8,3.9,Spike Lee,"Ce devait être le hold-up parfait , le chef-d'oeuvre d' un génie du crime . Le décor : une grande banque de Manhattan . Les protagonistes : un commando masqué , cagoulé , lunetté et des dizaines d' otages affolés , contraints de revêtir la même combinaison passe-partout que les braqueurs . L' enjeu : la salle des coffres et ses trésors ? Ou un vieux secret dont seuls deux personnes connaissent l' importance . Aujourd' hui , confiné dans une cellule , le cerveau de la bande s' explique . Mais attention , chaque mot compte , et aucun indice ne vous sera livré au hasard . Prêts ? Ce matin - là , donc , quatre peintres en batiment franchissaient le seuil de la Manhattan Trust Bank ...",Inside Man - l' homme de l' intérieur,,policier
3651,Melissa George,Joshua McIvor,Michael Dorman,128598,2009,2011.0,,Couleur,99.0,Anglais,Américain,,396.0,2030.0,,3.5,Christopher Smith,"Un groupe d’ amis part explorer le Triangle des Bermudes à bord d’ un voilier . Après avoir essuyé une tempête titanesque , le bateau est à la dérive . Ils trouvent alors refuge sur un navire où ils ne découvrent pas âme qui vive et où le temps s’ est arrêté . Pourtant , ils éprouvent une étrange sensation de déjà vu et réalisent très vite que quelque chose d’ hostile les guette …",Triangle,Long-métrage,horreur
2369,Lou de Laâge,Vincent Macaigne,Agata Buzek,231540,2015,2016.0,182733.0,Couleur,115.0,,"Français , polonais",24.0,238.0,2019.0,3.8,4.0,Anne Fontaine,"Pologne , décembre 1945.Mathilde Beaulieu , une jeune interne de la Croix - Rouge chargée de soigner les rescapés français avant leur rapatriement , est appelée au secours par une religieuse polonaise . D’ abord réticente , Mathilde accepte de la suivre dans son couvent où trente Bénédictines vivent coupées du monde . Elle découvre que plusieurs d’ entre elles , tombées enceintes dans des circonstances dramatiques , sont sur le point d’ accoucher . Peu à peu , se nouent entre Mathilde , athée et rationaliste , et les religieuses , attachées aux règles de leur vocation , des relations complexes que le danger va aiguiser ... C’ est pourtant ensemble qu’ elles retrouveront le chemin de la vie .",Les Innocentes,Long-métrage,historique
107,Vincent Cassel,Reda Kateb,Hélène Vincent,265905,2019,2019.0,2108551.0,Couleur,115.0,Français,Français,35.0,968.0,12566.0,3.9,4.3,"Eric Toledano, Olivier Nakache","Bruno et Malik vivent depuis 20 ans dans un monde à part , celui des enfants et adolescents autistes . Au sein de leurs deux associations respectives , ils forment des jeunes issus des quartiers difficiles pour encadrer ces cas qualifiés "" d' hyper complexes "" . Une alliance hors du commun pour des personnalités hors normes .",Hors Normes,Long-métrage,comédie
818,Russell Crowe,Denzel Washington,Chiwetel Ejiofor,88156,2007,2007.0,1226970.0,Couleur,157.0,Anglais,"Américain , britannique",25.0,1289.0,22903.0,3.9,4.1,Ridley Scott,"Début des années 1970 , New York . Frank Lucas a vécu pendant vingt ans dans l' ombre du Parrain noir de Harlem , Bumpy Johnson , qui en fait son garde du corps et confident . Lorsque son patron succombe à une crise cardiaque , Lucas assure discrètement la relève et ne tarde pas à révéler son leadership , son sens aigu des affaires et son extrême prudence , en prenant pour auxiliaires ses frères et cousins et en gardant un profil bas . Inconnu de la police comme des hautes instances de la Cosa Nostra , Lucas organise avec la complicité d' officiers basés au Vietnam un véritable pont aérien et importe ainsi par avions entiers des centaines de kilos d' héroïne pure , qu' il revend à bas prix dans les rues de New York . Tandis que Lucas amasse ainsi , en toute discrétion , une fortune colossale , l' inspecteur Roberts du NYPD enquête patiemment sur l' origine et le fonctionnement de ce marché parallèle d' un genre inédit , et finit par soupçonner l' insaisissable Frank Lucas . Une étrange partie de cache-cache commence alors entre ces deux solitaires perfectionnistes dont les destins seront bientôt inextricablement mêlés ...",American Gangster,Long-métrage,policier
514,Jesse Eisenberg,Imogen Poots,Jonathan Aris,256558,2019,2020.0,,Couleur,98.0,Anglais,"Irlandais , belge , américain",32.0,289.0,2150.0,3.6,2.6,Lorcan Finnegan,"À la recherche de leur première maison , un jeune couple effectue une visite en compagnie d’ un mystérieux agent immobilier et se retrouve pris au piège dans un étrange lotissement ...",Vivarium,Long-métrage,science fiction
1786,Rachel McAdams,Channing Tatum,Jessica Lange,184864,2012,2012.0,272599.0,Couleur,104.0,Anglais,"Américain , français , britannique , australien , allemand",9.0,459.0,5483.0,2.0,3.7,Michael Sucsy,"Paige et Leo étaient un jeune couple heureux , jusqu’ à l’ accident … Si Leo s’ en sort indemne , Paige se réveille de son coma en ayant tout oublié des cinq dernières années de sa vie . Elle n’ a plus aucun souvenir de Leo ni de ce qu’ ils ont vécu . Son mari est un inconnu … Paige découvre une vie dont elle ignore tout – la sienne . Elle se croit encore fiancée à Jeremy , un homme d’ affaires toujours amoureux d’ elle , et a beaucoup de mal à accepter Leo et son style de vie bohème … Incapable d’ aider sa femme à retrouver ses souvenirs , Leo va perdre la seule personne qui ait jamais compté pour lui . Prêt à tout , il décide de recommencer à zéro et de reconquérir Paige comme s’ ils venaient juste de se rencontrer . Un grand amour peut - il naître deux fois ?",Je te promets - The Vow,,romance
982,Arnold Schwarzenegger,Kristanna Loken,Nick Stahl,26840,2003,2003.0,3167806.0,Couleur,109.0,Anglais,"Américain , britannique , japonais , allemand",10.0,1064.0,24720.0,3.0,2.8,Jonathan Mostow,"Dix ans ont passé depuis "" Le Jugement dernier "" . Désormais âgé de 22 ans , John Connor vit dans l' ombre , sans foyer , sans travail , sans identité . Mais les machines de Skynet parviennent à retrouver sa trace . Ils envoient alors vers le passé la T - X , une androïde nouvelle génération quasi-invulnérable , pour éliminer le futur leader de la résistance humaine mais également Kate Brewster , une jeune vétérinaire . Un autre Terminator , le T-101 , est venu protéger la vie de John Connor . Ensemble , l' homme et la machine vont mener une lutte acharnée contre la T - X : de l' issue de ce combat dépendra le futur de l' humanité ...",Terminator 3 : le Soulèvement des Machines,,science fiction
2650,Johnny Depp,Helena Bonham Carter,Alan Rickman,53640,2007,2008.0,1046256.0,Couleur,116.0,Anglais,Américain,27.0,2364.0,28716.0,3.7,3.7,Tim Burton,"Après avoir croupi pendant quinze ans dans une prison australienne , Benjamin Barker s' évade et regagne Londres avec une seule idée en tête : se venger de l' infâme Juge Turpin qui le condamna pour lui ravir sa femme , Lucy , et son bébé , Johanna . Adoptant le nom de Sweeney Todd , il reprend possession de son échoppe de barbier , située au-dessus de la boulangerie de Mme Nellie Lovett . Celle-ci l' informe que Lucy se donna la mort après avoir été violée par Turpin . Lorsque son flamboyant rival Pirelli menace de le démasquer , Sweeney est contraint de l' égorger . L' astucieuse Mme Lovett vole à son secours : pour le débarrasser de l' encombrant cadavre , elle lui propose d' en faire de la chair à pâté , ce qui relancera du même coup ses propres affaires . Sweeney découvre que Turpin a maintenant des visées sur Johanna , qu' il séquestre avec la complicité de son âme damnée , le Bailli Bamford . L' adolescente a attiré les regards d' un jeune marin , Anthony , celui-là même qui avait sauvé Sweeney lors de son évasion . Amoureux fou de la jeune innocente , Anthony se promet de l' épouser après l' avoir arrachée à Turpin . Pendant ce temps , le quartier de Fleet Street s' est entiché des "" tartes "" très spéciales de Mme Lovett , et celle-ci se prend à rêver d' une nouvelle vie , respectable et bourgeoise , avec Sweeney pour époux et Toby , l' ancien assistant de Pirelli , comme fils adoptif . Mais Sweeney est bien décidé à mener à terme sa vengeance , quel qu' en soit le coût ...","Sweeney Todd , le diabolique barbier de Fleet Street",,horreur
1771,Cécile de France,Izïa Higelin,Noémie Lvovsky,226516,2015,2015.0,295982.0,Couleur,106.0,Français,"Français , belge",25.0,204.0,2040.0,3.7,3.7,Catherine Corsini,"1971 . Delphine , fille de paysans , monte à Paris pour s’ émanciper du carcan familial et gagner son indépendance financière . Carole est parisienne . En couple avec Manuel , elle vit activement les débuts du féminisme . Lorsque Delphine et Carole se rencontrent , leur histoire d' amour fait basculer leurs vies .",La Belle Saison,Long-métrage,romance
4710,Vincent Desagnat,Chantal Ladesou,Julien Arruti,259504,2017,2018.0,67081.0,Couleur,80.0,Français,Français,,83.0,588.0,,1.7,"David Diane, Morgan Spillemaecker","Dans la famille Mauret , les trois enfants n’ avaient certainement pas demandé une mère aussi odieuse , déjantée … et dépensière ! Pour Nico , l’ ainé , qui les entretient tous , c’ en est trop ! Il propose à Ben , son jeune frère fainéant , et à Fanny , sa sœur complètement dépassée , une solution radicale : assassiner leur mère pendant le traditionnel déjeuner du samedi …",Comment tuer sa mère,Long-métrage,comédie
